index,Image,Object_id,Length,Width,Area
182,Tahap2-a-22.txt,Person,7.33,22.0,161.26
191,Tahap2-a-212.txt,LV,20.0,12.0,240.0
194,Tahap2-a-212.txt,LV,26.67,12.0,320.04
195,Tahap2-a-212.txt,LV,28.0,10.0,280.0
207,Tahap2-a-214.txt,LV,20.0,12.0,240.0
210,Tahap2-a-214.txt,LV,26.67,12.0,320.04
211,Tahap2-a-214.txt,LV,28.0,10.0,280.0
215,Tahap2-a-214.txt,LV,30.67,12.67,388.5889
216,Tahap2-a-214.txt,LV,21.33,9.33,199.0089
224,Tahap2-a-243.txt,LV,20.0,12.0,240.0
225,Tahap2-a-243.txt,LV,22.0,11.33,249.26
226,Tahap2-a-243.txt,LV,26.0,12.0,312.0
227,Tahap2-a-243.txt,LV,26.0,8.0,208.0
239,Tahap2-a-228.txt,LV,20.0,12.0,240.0
240,Tahap2-a-228.txt,LV,22.67,12.67,287.2289
241,Tahap2-a-228.txt,LV,26.0,12.0,312.0
242,Tahap2-a-228.txt,LV,26.0,8.0,208.0
251,Tahap2-a-239.txt,LV,20.0,12.0,240.0
252,Tahap2-a-239.txt,LV,27.33,16.0,437.28
253,Tahap2-a-239.txt,LV,26.0,12.0,312.0
254,Tahap2-a-239.txt,LV,26.0,8.0,208.0
266,Tahap2-a-244.txt,LV,16.0,12.67,202.72
267,Tahap2-a-244.txt,LV,26.0,12.0,312.0
268,Tahap2-a-244.txt,LV,26.0,8.0,208.0
280,Tahap2-a-234.txt,LV,20.0,12.0,240.0
281,Tahap2-a-234.txt,LV,20.67,14.67,303.2289
282,Tahap2-a-234.txt,LV,26.0,12.0,312.0
283,Tahap2-a-234.txt,LV,26.0,8.0,208.0
284,Tahap2-a-234.txt,HD,50.67,19.33,979.4511
294,Tahap2-a-236.txt,LV,20.0,12.0,240.0
295,Tahap2-a-236.txt,LV,24.0,14.67,352.08
296,Tahap2-a-236.txt,LV,26.0,12.0,312.0
297,Tahap2-a-236.txt,LV,26.0,8.0,208.0
307,Tahap2-a-241.txt,LV,20.0,12.0,240.0
308,Tahap2-a-241.txt,LV,27.33,16.0,437.28
309,Tahap2-a-241.txt,LV,26.0,12.0,312.0
310,Tahap2-a-241.txt,LV,26.0,8.0,208.0
324,Tahap2-a-229.txt,LV,31.33,14.67,459.6111
325,Tahap2-a-229.txt,LV,34.0,13.33,453.22
326,Tahap2-a-229.txt,LV,26.0,12.0,312.0
327,Tahap2-a-237.txt,HD,44.0,18.67,821.48
329,Tahap2-a-237.txt,HD,31.33,17.33,542.9488999999999
330,Tahap2-a-237.txt,HD,34.67,18.67,647.2889000000001
338,Tahap2-a-232.txt,LV,20.0,12.0,240.0
339,Tahap2-a-232.txt,LV,22.67,12.67,287.2289
340,Tahap2-a-232.txt,LV,26.0,12.0,312.0
341,Tahap2-a-232.txt,LV,26.0,8.0,208.0
351,Tahap2-a-240.txt,LV,27.33,14.0,382.62
352,Tahap2-a-240.txt,LV,34.0,13.33,453.22
353,Tahap2-a-240.txt,LV,36.0,13.33,479.88
355,Tahap2-a-23.txt,Person,7.33,22.0,161.26
363,Tahap2-a-238.txt,LV,20.0,12.0,240.0
364,Tahap2-a-238.txt,LV,27.33,16.0,437.28
365,Tahap2-a-238.txt,LV,26.0,12.0,312.0
366,Tahap2-a-238.txt,LV,26.0,8.0,208.0
373,Tahap2-a-24.txt,LV,24.67,15.33,378.1911
382,Tahap2-a-233.txt,LV,20.0,12.0,240.0
383,Tahap2-a-233.txt,LV,20.67,14.67,303.2289
384,Tahap2-a-233.txt,LV,26.0,12.0,312.0
385,Tahap2-a-233.txt,LV,26.0,8.0,208.0
386,Tahap2-a-233.txt,HD,50.67,19.33,979.4511
395,Tahap2-a-245.txt,LV,20.0,12.0,240.0
396,Tahap2-a-245.txt,LV,26.0,12.0,312.0
397,Tahap2-a-245.txt,LV,26.0,8.0,208.0
407,Tahap2-a-242.txt,LV,20.0,12.0,240.0
408,Tahap2-a-242.txt,LV,27.33,16.0,437.28
409,Tahap2-a-242.txt,LV,26.0,12.0,312.0
410,Tahap2-a-242.txt,LV,26.0,8.0,208.0
422,Tahap2-a-231.txt,LV,20.0,12.0,240.0
423,Tahap2-a-231.txt,LV,22.67,12.67,287.2289
424,Tahap2-a-231.txt,LV,26.0,12.0,312.0
425,Tahap2-a-231.txt,LV,26.0,8.0,208.0
434,Tahap2-a-235.txt,LV,20.0,12.0,240.0
435,Tahap2-a-235.txt,LV,24.0,14.67,352.08
436,Tahap2-a-235.txt,LV,26.0,12.0,312.0
437,Tahap2-a-235.txt,LV,26.0,8.0,208.0
438,Tahap2-a-235.txt,HD,50.67,19.33,979.4511
448,Tahap2-a-230.txt,LV,20.0,12.0,240.0
449,Tahap2-a-230.txt,LV,22.67,12.67,287.2289
450,Tahap2-a-230.txt,LV,26.0,12.0,312.0
451,Tahap2-a-230.txt,LV,26.0,8.0,208.0
462,Tahap2-a-246.txt,LV,30.67,14.0,429.38
463,Tahap2-a-246.txt,LV,27.33,10.0,273.29999999999995
464,Tahap2-a-246.txt,LV,26.0,8.0,208.0
468,Tahap2-a-58.txt,HD,14.0,10.67,149.38
474,Tahap2-a-250.txt,LV,32.67,14.0,457.38
475,Tahap2-a-250.txt,LV,26.0,8.0,208.0
480,Tahap2-a-45.txt,HD,12.0,10.67,128.04
491,Tahap2-a-51.txt,HD,39.33,21.33,838.9088999999999
492,Tahap2-a-51.txt,HD,36.0,24.0,864.0
503,Tahap2-a-3.txt,LV,35.33,15.33,541.6089
507,Tahap2-a-37.txt,HD,31.33,20.0,626.5999999999999
508,Tahap2-a-37.txt,HD,24.0,14.67,352.08
509,Tahap2-a-37.txt,HD,26.67,15.33,408.8511
515,Tahap2-a-50.txt,HD,52.67,16.67,878.0089000000002
516,Tahap2-a-50.txt,HD,39.33,21.33,838.9088999999999
517,Tahap2-a-50.txt,HD,36.0,24.0,864.0
522,Tahap2-a-5.txt,LV,35.33,15.33,541.6089
532,Tahap2-a-248.txt,LV,32.67,14.0,457.38
533,Tahap2-a-248.txt,LV,26.0,8.0,208.0
536,Tahap2-a-248.txt,LV,28.0,11.33,317.24
540,Tahap2-a-249.txt,HD,39.33,19.33,760.2488999999999
541,Tahap2-a-249.txt,HD,35.33,19.33,682.9288999999999
549,Tahap2-a-48.txt,HD,36.0,24.0,864.0
563,Tahap2-a-39.txt,HD,66.0,14.0,924.0
565,Tahap2-a-39.txt,HD,34.67,21.33,739.5110999999999
572,Tahap2-a-40.txt,HD,66.0,14.0,924.0
574,Tahap2-a-40.txt,HD,34.67,21.33,739.5110999999999
579,Tahap2-a-55.txt,HD,39.33,21.33,838.9088999999999
580,Tahap2-a-55.txt,HD,36.0,24.0,864.0
581,Tahap2-a-55.txt,HD,52.0,17.33,901.16
594,Tahap2-a-43.txt,HD,66.0,14.0,924.0
595,Tahap2-a-43.txt,HD,34.67,21.33,739.5110999999999
601,Tahap2-a-49.txt,HD,61.33,16.0,981.28
602,Tahap2-a-49.txt,HD,39.33,21.33,838.9088999999999
603,Tahap2-a-49.txt,HD,36.0,24.0,864.0
610,Tahap2-a-38.txt,HD,66.0,14.0,924.0
612,Tahap2-a-38.txt,HD,34.67,21.33,739.5110999999999
617,Tahap2-a-57.txt,LV,25.33,16.0,405.28
620,Tahap2-a-46.txt,LV,25.33,14.67,371.5911
624,Tahap2-a-35.txt,LV,28.0,16.0,448.0
632,Tahap2-a-4.txt,LV,35.33,15.33,541.6089
640,Tahap2-a-44.txt,HD,66.0,14.0,924.0
641,Tahap2-a-44.txt,HD,34.67,21.33,739.5110999999999
642,Tahap2-a-44.txt,HD,36.0,22.67,816.1200000000001
648,Tahap2-a-59.txt,HD,35.33,20.0,706.5999999999999
649,Tahap2-a-59.txt,HD,55.33,15.33,848.2089
650,Tahap2-a-59.txt,HD,37.33,22.0,821.26
655,Tahap2-a-52.txt,HD,39.33,21.33,838.9088999999999
656,Tahap2-a-52.txt,HD,36.0,24.0,864.0
664,Tahap2-a-247.txt,LV,33.33,12.0,399.96
665,Tahap2-a-247.txt,LV,26.0,8.0,208.0
673,Tahap2-a-34.txt,Person,16.0,46.0,736.0
679,Tahap2-a-53.txt,HD,39.33,21.33,838.9088999999999
680,Tahap2-a-53.txt,HD,36.0,24.0,864.0
681,Tahap2-a-53.txt,HD,52.0,17.33,901.16
687,Tahap2-a-41.txt,HD,66.0,14.0,924.0
689,Tahap2-a-41.txt,HD,34.67,21.33,739.5110999999999
694,Tahap2-a-56.txt,HD,39.33,21.33,838.9088999999999
695,Tahap2-a-56.txt,HD,36.0,24.0,864.0
696,Tahap2-a-56.txt,HD,52.0,17.33,901.16
705,Tahap2-a-47.txt,HD,43.33,18.0,779.9399999999999
707,Tahap2-a-47.txt,HD,33.33,24.0,799.92
713,Tahap2-a-42.txt,HD,66.0,14.0,924.0
715,Tahap2-a-42.txt,HD,34.67,21.33,739.5110999999999
716,Tahap2-a-42.txt,HD,50.0,19.33,966.5
721,Tahap2-a-54.txt,HD,39.33,21.33,838.9088999999999
722,Tahap2-a-54.txt,HD,36.0,24.0,864.0
723,Tahap2-a-54.txt,HD,52.0,17.33,901.16
726,Tahap2-a-82.txt,HD,18.0,11.33,203.94
732,Tahap2-a-86.txt,HD,54.67,14.67,802.0089
733,Tahap2-a-86.txt,HD,50.67,15.33,776.7711
736,Tahap2-a-86.txt,HD,36.67,18.67,684.6289
743,Tahap2-a-80.txt,HD,58.0,15.33,889.14
744,Tahap2-a-80.txt,HD,51.33,14.67,753.0110999999999
746,Tahap2-a-80.txt,LV,24.0,9.33,223.92
747,Tahap2-a-80.txt,LV,24.0,7.33,175.92000000000002
753,Tahap2-a-64.txt,HD,35.33,20.0,706.5999999999999
754,Tahap2-a-64.txt,HD,55.33,15.33,848.2089
755,Tahap2-a-64.txt,HD,37.33,22.0,821.26
757,Tahap2-a-64.txt,HD,53.33,17.33,924.2089
762,Tahap2-a-77.txt,HD,55.33,14.67,811.6911
763,Tahap2-a-77.txt,HD,46.67,17.33,808.7910999999999
764,Tahap2-a-77.txt,HD,42.67,22.67,967.3289
765,Tahap2-a-77.txt,LV,23.33,8.67,202.2711
766,Tahap2-a-77.txt,HD,37.33,16.0,597.28
771,Tahap2-a-74.txt,HD,55.33,14.67,811.6911
772,Tahap2-a-74.txt,HD,50.67,16.0,810.72
773,Tahap2-a-74.txt,HD,38.0,22.67,861.46
775,Tahap2-a-74.txt,HD,50.0,16.67,833.5000000000001
780,Tahap2-a-78.txt,HD,55.33,14.67,811.6911
781,Tahap2-a-78.txt,HD,50.0,16.67,833.5000000000001
782,Tahap2-a-78.txt,HD,42.67,22.67,967.3289
783,Tahap2-a-78.txt,LV,24.0,10.0,240.0
784,Tahap2-a-78.txt,HD,37.33,16.0,597.28
786,Tahap2-a-78.txt,HD,43.33,18.67,808.9711000000001
791,Tahap2-a-69.txt,HD,54.67,14.0,765.38
792,Tahap2-a-69.txt,HD,50.0,15.33,766.5
793,Tahap2-a-69.txt,HD,34.0,18.67,634.7800000000001
799,Tahap2-a-65.txt,HD,35.33,20.0,706.5999999999999
800,Tahap2-a-65.txt,HD,55.33,15.33,848.2089
801,Tahap2-a-65.txt,HD,32.67,22.0,718.74
802,Tahap2-a-65.txt,HD,36.0,26.0,936.0
809,Tahap2-a-83.txt,HD,54.67,14.67,802.0089
810,Tahap2-a-83.txt,HD,50.67,15.33,776.7711
811,Tahap2-a-83.txt,HD,44.67,18.67,833.9889000000001
814,Tahap2-a-83.txt,LV,23.33,6.67,155.6111
819,Tahap2-a-75.txt,HD,55.33,14.67,811.6911
820,Tahap2-a-75.txt,HD,50.67,16.0,810.72
821,Tahap2-a-75.txt,HD,38.0,22.67,861.46
823,Tahap2-a-75.txt,HD,30.0,21.33,639.9
829,Tahap2-a-67.txt,HD,35.33,20.0,706.5999999999999
830,Tahap2-a-67.txt,HD,55.33,15.33,848.2089
831,Tahap2-a-67.txt,HD,28.67,26.0,745.4200000000001
836,Tahap2-a-72.txt,HD,55.33,14.67,811.6911
837,Tahap2-a-72.txt,HD,50.67,16.0,810.72
838,Tahap2-a-72.txt,HD,38.0,22.67,861.46
844,Tahap2-a-6.txt,LV,35.33,15.33,541.6089
853,Tahap2-a-79.txt,LV,25.33,14.67,371.5911
860,Tahap2-a-85.txt,HD,54.67,14.67,802.0089
861,Tahap2-a-85.txt,HD,50.67,15.33,776.7711
864,Tahap2-a-85.txt,LV,22.67,8.0,181.36
865,Tahap2-a-85.txt,HD,51.33,18.0,923.94
871,Tahap2-a-71.txt,HD,55.33,14.67,811.6911
872,Tahap2-a-71.txt,HD,50.67,16.0,810.72
873,Tahap2-a-71.txt,HD,38.0,22.67,861.46
880,Tahap2-a-62.txt,HD,35.33,20.0,706.5999999999999
881,Tahap2-a-62.txt,HD,55.33,15.33,848.2089
882,Tahap2-a-62.txt,HD,37.33,22.0,821.26
883,Tahap2-a-62.txt,HD,49.33,12.67,625.0110999999999
889,Tahap2-a-60.txt,HD,35.33,20.0,706.5999999999999
890,Tahap2-a-60.txt,HD,55.33,15.33,848.2089
891,Tahap2-a-60.txt,HD,37.33,22.0,821.26
892,Tahap2-a-60.txt,HD,46.0,21.33,981.18
897,Tahap2-a-8.txt,LV,35.33,15.33,541.6089
906,Tahap2-a-76.txt,HD,55.33,14.67,811.6911
907,Tahap2-a-76.txt,HD,50.67,16.0,810.72
908,Tahap2-a-76.txt,LV,45.33,14.67,664.9911
910,Tahap2-a-76.txt,HD,30.0,21.33,639.9
911,Tahap2-a-76.txt,LV,23.33,8.0,186.64
916,Tahap2-a-73.txt,HD,55.33,14.67,811.6911
917,Tahap2-a-73.txt,HD,50.67,16.0,810.72
918,Tahap2-a-73.txt,HD,38.0,22.67,861.46
923,Tahap2-a-7.txt,LV,35.33,15.33,541.6089
934,Tahap2-a-66.txt,HD,35.33,20.0,706.5999999999999
935,Tahap2-a-66.txt,HD,55.33,15.33,848.2089
936,Tahap2-a-66.txt,HD,28.67,22.67,649.9489000000001
942,Tahap2-a-63.txt,HD,35.33,20.0,706.5999999999999
943,Tahap2-a-63.txt,HD,55.33,15.33,848.2089
944,Tahap2-a-63.txt,HD,37.33,22.0,821.26
946,Tahap2-a-63.txt,HD,47.33,18.67,883.6511
953,Tahap2-a-84.txt,HD,54.67,14.67,802.0089
954,Tahap2-a-84.txt,HD,50.67,15.33,776.7711
955,Tahap2-a-84.txt,HD,52.0,18.67,970.84
957,Tahap2-a-84.txt,LV,22.67,8.0,181.36
958,Tahap2-a-84.txt,HD,55.33,17.33,958.8688999999998
962,Tahap2-a-68.txt,LV,26.0,14.67,381.42
968,Tahap2-a-87.txt,HD,54.67,14.67,802.0089
970,Tahap2-a-87.txt,HD,52.0,18.0,936.0
972,Tahap2-a-87.txt,LV,26.0,9.33,242.58
978,Tahap2-a-81.txt,HD,58.0,15.33,889.14
979,Tahap2-a-81.txt,HD,51.33,14.67,753.0110999999999
981,Tahap2-a-81.txt,LV,25.33,10.67,270.2711
982,Tahap2-a-81.txt,HD,45.33,19.33,876.2288999999998
989,Tahap2-a-61.txt,HD,35.33,20.0,706.5999999999999
990,Tahap2-a-61.txt,HD,55.33,15.33,848.2089
991,Tahap2-a-61.txt,HD,37.33,22.0,821.26
995,Tahap2-a-70.txt,HD,23.33,13.33,310.9889
996,Tahap2-a-70.txt,HD,18.0,11.33,203.94
997,Tahap2-a-70.txt,HD,20.0,12.67,253.4
1016,Tahap2-a-89.txt,HD,54.67,14.67,802.0089
1018,Tahap2-a-89.txt,HD,52.0,18.0,936.0
1020,Tahap2-a-89.txt,HD,52.0,15.33,797.16
1035,Tahap2-i-106.txt,HD,21.33,13.33,284.3289
1036,Tahap2-i-106.txt,HD,19.33,13.33,257.66889999999995
1037,Tahap2-i-106.txt,HD,19.33,10.0,193.3
1038,Tahap2-i-106.txt,HD,42.67,22.0,938.74
1039,Tahap2-i-106.txt,HD,20.0,16.0,320.0
1040,Tahap2-i-106.txt,HD,33.33,14.0,466.62
1047,Tahap2-i-118.txt,LV,26.0,9.33,242.58
1052,Tahap2-i-11.txt,Person,11.33,24.67,279.5111
1057,Tahap2-a-95.txt,HD,22.67,12.0,272.04
1058,Tahap2-a-95.txt,HD,14.0,12.0,168.0
1059,Tahap2-a-95.txt,HD,20.0,13.33,266.6
1074,Tahap2-i-108.txt,HD,21.33,13.33,284.3289
1075,Tahap2-i-108.txt,HD,19.33,13.33,257.66889999999995
1076,Tahap2-i-108.txt,HD,19.33,10.0,193.3
1077,Tahap2-i-108.txt,HD,42.67,22.0,938.74
1078,Tahap2-i-108.txt,HD,20.0,16.0,320.0
1079,Tahap2-i-108.txt,HD,33.33,14.0,466.62
1080,Tahap2-i-108.txt,HD,42.0,22.67,952.14
1096,Tahap2-i-103.txt,HD,32.0,14.0,448.0
1097,Tahap2-i-103.txt,HD,19.33,14.0,270.62
1098,Tahap2-i-103.txt,HD,22.67,12.0,272.04
1099,Tahap2-i-103.txt,HD,19.33,13.33,257.66889999999995
1100,Tahap2-i-103.txt,HD,22.67,10.0,226.7
1101,Tahap2-i-103.txt,HD,20.67,14.0,289.38
1102,Tahap2-i-103.txt,HD,20.0,14.0,280.0
1103,Tahap2-i-103.txt,HD,18.67,12.67,236.54890000000003
1104,Tahap2-i-103.txt,HD,18.67,16.67,311.22890000000007
1105,Tahap2-i-103.txt,HD,20.0,15.33,306.6
1106,Tahap2-i-103.txt,HD,22.67,14.0,317.38
1107,Tahap2-i-103.txt,HD,21.33,12.67,270.25109999999995
1108,Tahap2-i-103.txt,HD,18.0,10.0,180.0
1109,Tahap2-i-103.txt,HD,19.33,10.0,193.3
1110,Tahap2-i-103.txt,HD,42.67,22.0,938.74
1114,Tahap2-a-90.txt,LV,25.33,14.67,371.5911
1129,Tahap2-i-105.txt,HD,21.33,13.33,284.3289
1130,Tahap2-i-105.txt,HD,19.33,13.33,257.66889999999995
1131,Tahap2-i-105.txt,HD,19.33,10.0,193.3
1132,Tahap2-i-105.txt,HD,42.67,22.0,938.74
1133,Tahap2-i-105.txt,HD,20.0,16.0,320.0
1134,Tahap2-i-105.txt,HD,33.33,14.0,466.62
1142,Tahap2-i-10.txt,Person,11.33,24.67,279.5111
1147,Tahap2-a-93.txt,HD,22.67,12.0,272.04
1148,Tahap2-a-93.txt,HD,16.0,13.33,213.28
1149,Tahap2-a-93.txt,HD,20.0,11.33,226.6
1152,Tahap2-a-91.txt,HD,22.67,12.0,272.04
1167,Tahap2-i-102.txt,HD,36.67,20.67,757.9689000000001
1168,Tahap2-i-102.txt,HD,20.67,17.33,358.2111
1169,Tahap2-i-102.txt,HD,30.67,18.67,572.6089000000001
1171,Tahap2-i-102.txt,HD,35.33,21.33,753.5888999999999
1172,Tahap2-i-102.txt,HD,34.0,21.33,725.2199999999999
1173,Tahap2-i-102.txt,HD,33.33,21.33,710.9288999999999
1174,Tahap2-i-102.txt,HD,36.0,22.0,792.0
1175,Tahap2-i-102.txt,HD,40.67,21.33,867.4911
1176,Tahap2-i-102.txt,HD,31.33,20.67,647.5911
1177,Tahap2-i-102.txt,HD,37.33,20.67,771.6111000000001
1178,Tahap2-i-102.txt,HD,35.33,14.67,518.2911
1179,Tahap2-i-102.txt,HD,42.67,22.67,967.3289
1181,Tahap2-i-102.txt,HD,30.67,26.67,817.9689000000001
1184,Tahap2-i-102.txt,HD,22.67,12.67,287.2289
1188,Tahap2-i-102.txt,HD,17.33,8.0,138.64
1190,Tahap2-i-102.txt,HD,16.0,8.0,128.0
1192,Tahap2-i-102.txt,HD,18.67,11.33,211.5311
1194,Tahap2-i-114.txt,LV,23.33,13.33,310.9889
1197,Tahap2-i-114.txt,LV,24.0,8.0,192.0
1200,Tahap2-a-99.txt,HD,22.67,12.0,272.04
1201,Tahap2-a-99.txt,HD,24.0,15.33,367.92
1202,Tahap2-a-99.txt,HD,15.33,15.33,235.0089
1209,Tahap2-i-100.txt,HD,28.67,25.33,726.2111
1210,Tahap2-i-100.txt,HD,40.67,24.0,976.08
1211,Tahap2-i-100.txt,HD,33.33,15.33,510.9489
1212,Tahap2-i-100.txt,HD,37.33,20.0,746.5999999999999
1213,Tahap2-i-100.txt,HD,32.67,20.0,653.4000000000001
1215,Tahap2-i-100.txt,HD,39.33,22.0,865.26
1216,Tahap2-i-100.txt,HD,38.67,22.0,850.74
1217,Tahap2-i-100.txt,HD,32.67,22.0,718.74
1218,Tahap2-i-100.txt,HD,37.33,22.0,821.26
1219,Tahap2-i-100.txt,HD,36.0,21.33,767.8799999999999
1220,Tahap2-i-100.txt,HD,41.33,22.0,909.26
1221,Tahap2-i-100.txt,HD,38.0,18.67,709.46
1222,Tahap2-i-100.txt,HD,18.0,18.0,324.0
1223,Tahap2-i-100.txt,HD,37.33,19.33,721.5888999999999
1225,Tahap2-i-100.txt,HD,21.33,12.0,255.96
1229,Tahap2-i-100.txt,HD,13.33,8.0,106.64
1234,Tahap2-i-100.txt,HD,12.0,8.67,104.04
1249,Tahap2-i-109.txt,HD,21.33,13.33,284.3289
1250,Tahap2-i-109.txt,HD,19.33,13.33,257.66889999999995
1251,Tahap2-i-109.txt,HD,19.33,10.0,193.3
1252,Tahap2-i-109.txt,HD,42.67,22.0,938.74
1253,Tahap2-i-109.txt,HD,20.0,16.0,320.0
1254,Tahap2-i-109.txt,HD,33.33,14.0,466.62
1255,Tahap2-i-109.txt,HD,42.0,22.67,952.14
1264,Tahap2-a-97.txt,HD,22.67,12.0,272.04
1265,Tahap2-a-97.txt,HD,23.33,14.0,326.62
1266,Tahap2-a-97.txt,HD,16.0,13.33,213.28
1281,Tahap2-i-110.txt,HD,21.33,13.33,284.3289
1282,Tahap2-i-110.txt,HD,19.33,13.33,257.66889999999995
1283,Tahap2-i-110.txt,HD,19.33,10.0,193.3
1284,Tahap2-i-110.txt,HD,42.67,22.0,938.74
1285,Tahap2-i-110.txt,HD,20.0,16.0,320.0
1286,Tahap2-i-110.txt,HD,33.33,14.0,466.62
1290,Tahap2-a-94.txt,HD,22.67,12.0,272.04
1294,Tahap2-i-115.txt,LV,25.33,11.33,286.9889
1299,Tahap2-a-9.txt,LV,35.33,15.33,541.6089
1319,Tahap2-i-107.txt,HD,21.33,13.33,284.3289
1320,Tahap2-i-107.txt,HD,19.33,13.33,257.66889999999995
1321,Tahap2-i-107.txt,HD,19.33,10.0,193.3
1322,Tahap2-i-107.txt,HD,42.67,22.0,938.74
1323,Tahap2-i-107.txt,HD,20.0,16.0,320.0
1324,Tahap2-i-107.txt,HD,33.33,14.0,466.62
1325,Tahap2-i-107.txt,HD,42.0,22.67,952.14
1328,Tahap2-a-92.txt,HD,22.67,12.0,272.04
1329,Tahap2-a-92.txt,HD,24.0,12.67,304.08
1330,Tahap2-a-92.txt,HD,18.67,12.67,236.54890000000003
1334,Tahap2-i-116.txt,LV,26.0,9.33,242.58
1335,Tahap2-i-116.txt,LV,25.33,11.33,286.9889
1339,Tahap2-i-101.txt,HD,36.67,20.67,757.9689000000001
1340,Tahap2-i-101.txt,HD,20.67,17.33,358.2111
1341,Tahap2-i-101.txt,HD,30.67,18.67,572.6089000000001
1343,Tahap2-i-101.txt,HD,35.33,21.33,753.5888999999999
1344,Tahap2-i-101.txt,HD,34.0,21.33,725.2199999999999
1345,Tahap2-i-101.txt,HD,33.33,21.33,710.9288999999999
1346,Tahap2-i-101.txt,HD,36.0,22.0,792.0
1347,Tahap2-i-101.txt,HD,40.67,21.33,867.4911
1348,Tahap2-i-101.txt,HD,31.33,20.67,647.5911
1349,Tahap2-i-101.txt,HD,37.33,20.67,771.6111000000001
1350,Tahap2-i-101.txt,HD,35.33,14.67,518.2911
1351,Tahap2-i-101.txt,HD,42.67,22.67,967.3289
1353,Tahap2-i-101.txt,HD,30.67,26.67,817.9689000000001
1356,Tahap2-i-101.txt,HD,22.67,12.67,287.2289
1360,Tahap2-i-101.txt,HD,17.33,8.0,138.64
1362,Tahap2-i-101.txt,HD,16.0,8.0,128.0
1364,Tahap2-i-101.txt,HD,18.67,11.33,211.5311
1379,Tahap2-i-111.txt,HD,21.33,13.33,284.3289
1380,Tahap2-i-111.txt,HD,19.33,13.33,257.66889999999995
1381,Tahap2-i-111.txt,HD,19.33,10.0,193.3
1382,Tahap2-i-111.txt,HD,42.67,22.0,938.74
1383,Tahap2-i-111.txt,HD,20.0,16.0,320.0
